,precision,recall,f1-score,support
admiration,0.0,0.0,0.0,13.0
amusement,0.0,0.0,0.0,10.0
anger,0.08333333333333333,0.8333333333333334,0.15151515151515152,6.0
annoyance,0.0,0.0,0.0,12.0
approval,0.0,0.0,0.0,7.0
caring,0.0,0.0,0.0,7.0
confusion,0.0,0.0,0.0,6.0
curiosity,0.0,0.0,0.0,7.0
desire,0.0,0.0,0.0,3.0
disappointment,0.0,0.0,0.0,3.0
disapproval,0.0,0.0,0.0,11.0
disgust,0.0,0.0,0.0,1.0
embarrassment,0.0,0.0,0.0,1.0
excitement,0.0,0.0,0.0,2.0
fear,0.0,0.0,0.0,7.0
gratitude,0.0,0.0,0.0,13.0
joy,0.058823529411764705,1.0,0.1111111111111111,4.0
love,0.0,0.0,0.0,3.0
nervousness,0.0,0.0,0.0,1.0
optimism,0.05,0.2,0.08,5.0
realization,0.0,0.0,0.0,3.0
remorse,0.0,0.0,0.0,5.0
sadness,0.09615384615384616,1.0,0.17543859649122806,5.0
surprise,0.0,0.0,0.0,5.0
neutral,0.0,0.0,0.0,60.0
accuracy,0.075,0.075,0.075,0.075
macro avg,0.011532428355957768,0.12133333333333333,0.02072259436469963,200.0
weighted avg,0.007330316742081448,0.075,0.013153641679957468,200.0
