,precision,recall,f1-score,support
admiration,0.0,0.0,0.0,13.0
amusement,0.0,0.0,0.0,10.0
anger,0.2857142857142857,0.6666666666666666,0.4,6.0
annoyance,0.0,0.0,0.0,12.0
approval,0.0,0.0,0.0,7.0
caring,0.0,0.0,0.0,7.0
confusion,0.0,0.0,0.0,6.0
curiosity,0.0,0.0,0.0,7.0
desire,0.0,0.0,0.0,3.0
disappointment,0.0,0.0,0.0,3.0
disapproval,0.0,0.0,0.0,11.0
disgust,0.041666666666666664,1.0,0.08,1.0
embarrassment,0.0,0.0,0.0,1.0
excitement,0.0,0.0,0.0,2.0
fear,0.6,0.8571428571428571,0.7058823529411765,7.0
gratitude,0.0,0.0,0.0,13.0
joy,0.1,0.75,0.17647058823529413,4.0
love,0.0,0.0,0.0,3.0
nervousness,0.0,0.0,0.0,1.0
optimism,0.0,0.0,0.0,5.0
realization,0.0,0.0,0.0,3.0
remorse,0.0,0.0,0.0,5.0
sadness,0.2222222222222222,0.8,0.34782608695652173,5.0
surprise,0.13333333333333333,0.8,0.22857142857142856,5.0
neutral,0.40540540540540543,0.5,0.44776119402985076,60.0
accuracy,0.26,0.26,0.26,0.26
macro avg,0.07153367653367654,0.21495238095238092,0.09546046602937087,200.0
weighted avg,0.1622902724152724,0.26,0.18937359021480105,200.0
