,precision,recall,f1-score,support
admiration,0.0,0.0,0.0,13.0
amusement,0.0,0.0,0.0,10.0
anger,0.10638297872340426,0.8333333333333334,0.18867924528301888,6.0
annoyance,0.0,0.0,0.0,12.0
approval,0.0,0.0,0.0,7.0
caring,0.0,0.0,0.0,7.0
confusion,0.0,0.0,0.0,6.0
curiosity,0.0,0.0,0.0,7.0
desire,0.0,0.0,0.0,3.0
disappointment,0.0,0.0,0.0,3.0
disapproval,0.0,0.0,0.0,11.0
disgust,0.0,0.0,0.0,1.0
embarrassment,0.0,0.0,0.0,1.0
excitement,0.0,0.0,0.0,2.0
fear,0.2,0.2857142857142857,0.23529411764705882,7.0
gratitude,0.0,0.0,0.0,13.0
joy,0.02857142857142857,0.75,0.05504587155963303,4.0
love,0.25,0.6666666666666666,0.36363636363636365,3.0
nervousness,0.0,0.0,0.0,1.0
optimism,0.0,0.0,0.0,5.0
realization,0.0,0.0,0.0,3.0
remorse,0.0,0.0,0.0,5.0
sadness,0.20833333333333334,1.0,0.3448275862068966,5.0
surprise,0.3333333333333333,0.4,0.36363636363636365,5.0
neutral,0.0,0.0,0.0,60.0
accuracy,0.095,0.095,0.095,0.095
macro avg,0.04506484295845998,0.15742857142857142,0.06204478191877339,200.0
weighted avg,0.02805458459979737,0.095,0.038162733107957245,200.0
